from_track_id,to_track_id,frequency
b4TZzLiJsTQ,fwxZI1PIT3s,2
jhyKeRcGmSE,PB_y1hYNWGw,2
p_KSC2OoY-8,82__gmaSR5g,2
82__gmaSR5g,qQD9t42dU9U,2
qQD9t42dU9U,qJP-6_fE4vE,2
qJP-6_fE4vE,oaTaBhEfNZI,2
oaTaBhEfNZI,2YCollJhnyE,2
mABLqgMNW9Y,cFHarFsHxS4,2
cFHarFsHxS4,uyLHQfiD5UU,2
uyLHQfiD5UU,rjEG-YIUdEA,2
DvKUWb5H5BI,yn2RiJPVwKM,2
6ydGpzvFogg,lBC1sAeyXh8,2
vSnftV83QRQ,cybP_8EgivY,2
cybP_8EgivY,if2C3bOt5_A,2
4WV7Sz4Zp0c,z3e2zxOIv90,2
z3e2zxOIv90,Z8mex4BPXz8,2
Z8mex4BPXz8,Q3dg530rmNY,2
Q3dg530rmNY,gHPEJ2T9LMM,2
gHPEJ2T9LMM,F9zsUVtAe7E,2
m-aN9WMFFeY,aNOyPfgy5aQ,2
EJXhU-1uaaE,TadAQevLW1E,2
r7xr9F466dg,aA9VazsSRas,2
bMfSCjkPlxU,YmInz7-MQ6s,2
ziU0rc3-yU4,-C-6dQIElCQ,2
61n0exqqrqM,8isHfeaB2ks,2
8isHfeaB2ks,vvnh0KSCzaY,2
vvnh0KSCzaY,VB2qMNhR_DY,2
VB2qMNhR_DY,bSVb6JfD0MQ,2
jfvITGU_Mag,o7VCiIP00CY,2
o7VCiIP00CY,3_CBAhIWIqQ,2
98uNrwZg0GE,wTDHpXvBtE8,2
wTDHpXvBtE8,JB4gQqBp-zw,2
JB4gQqBp-zw,2UD1eLhJGUo,2
2UD1eLhJGUo,2hVcXhMa9IY,2
2hVcXhMa9IY,dZ75JIeiFGs,2
dZ75JIeiFGs,I2olHhbvm5E,2
I2olHhbvm5E,VJnLs5zQ4_M,2
pOJSIADtPDQ,nCf0AeT097E,2
nCf0AeT097E,VUy9vG_1WZw,2
NePJUGMpB-Y,z_XoI38NQUU,2
Z_N6OuLm5n8,8l_DjNV1m3E,2
8l_DjNV1m3E,CppM5kAjV9o,2
pv6r_BXqoE8,Hk2HkcoPek4,2
RzDoI4fmGv8,VVoiG8LEQ8c,2
ynYEUbPYmfE,A65-Snrtxdk,2
db_AwOCtbAc,0EesYp_XFXQ,2
sYjBF0buFbM,NW0H04iUxts,2
2M-dIs8R1JE,FQgfuSeJ6Pw,2
FQgfuSeJ6Pw,RJA1oHkh39Q,2
RJA1oHkh39Q,ZLZd6EeQgtY,2
ZLZd6EeQgtY,NXSrhMiwKdY,2
NXSrhMiwKdY,-Gk4VwSj654,2
-Gk4VwSj654,Q5ZS8-_lbGI,2
Q5ZS8-_lbGI,FIRwpEhNcT8,2
0zAqGPS5ytI,KuAcpXhVkLY,2
KuAcpXhVkLY,PEkZ2MCsDgM,2
PEkZ2MCsDgM,BLeyyb9V48A,2
cZuGM-UOyS0,CeU9LMms9fg,2
R2m2h3NgQYk,_pNglFJzs1U,2
6UoNXz0Ox-g,C5Q2sidHUz0,2
VVoiG8LEQ8c,RCjvvuy-gas,2
RCjvvuy-gas,ifWzAUPZPuQ,2
ifWzAUPZPuQ,19RnkADIkBc,2
3EqlGyi_3wI,8gI2FzURXlg,2
8gI2FzURXlg,mQwg2JJFm6A,2
RqnLZRUSzwg,v1S_Ih8RMJA,2
vr1g0C6E9z0,KjeG_U1QSjA,2
uBMHYYVOpk8,5cJLfzTSsTc,2
HM9wkYrpMAs,QEPiTAZrwsI,2
QEPiTAZrwsI,1Rj2G1MFcss,2
Iz_T35ROEgw,Tg3E36eNLYE,2
ql7krD4ZXPs,k5FKG3zILhA,2
7byi4zlAB6Q,O-B46mrOtCM,2
O-B46mrOtCM,Rbdg73O5ing,2
Rbdg73O5ing,OL6tMudABVA,2
OL6tMudABVA,789KgzLLs-U,2
789KgzLLs-U,TSez3rp9Ctw,2
TSez3rp9Ctw,RC1SHcAUS3g,2
5tnUKfxqVbo,G7rzmrVJhnw,2
G7rzmrVJhnw,mnuRIh-adQA,2
mnuRIh-adQA,Hs2P3fcXfOU,2
Hs2P3fcXfOU,3KQNZOMy2cE,2
3KQNZOMy2cE,_6Zo_M8gVUo,2
_6Zo_M8gVUo,t8uToxaM5A4,2
ceBG5kqXcMQ,1pkQRluTyU8,2
1pkQRluTyU8,DcIYF4iO9Bg,2
T2LKpbbJ1j0,gw_8w1mvydQ,2
SLGVcMwHD1w,Swo7qFI9_i0,2
FgTY7x8yhRE,Bn0T0rKBEH8,2
Bn0T0rKBEH8,8adERAmD0a0,2
l1iTqaun5S4,Og5ovhUbw3g,2
L3cgFzb3IMk,X3O_bbhZQhk,2
fPK8qEdU3JU,iU1MajoKKWs,2
iU1MajoKKWs,9zN1FuQbC2g,2
9zN1FuQbC2g,1kNEjIcUapU,2
h5jVJbHfzKQ,6sifOMphOcw,2
gTNR8CsC51E,gq-eikcPUxg,2
hfO9ph1XqyI,t9EMv2BLy3I,2
t9EMv2BLy3I,OtRAkjNHnrI,2
OtRAkjNHnrI,8870hCF8RVo,2
8870hCF8RVo,__yhOcFSffc,2
__yhOcFSffc,3YDNhWTpXjs,2
3YDNhWTpXjs,QFwe7ERHtp4,2
QFwe7ERHtp4,7ooxyNIlOBo,2
oLypyWqkL3w,pzJhOSxc-uE,2
SVmlDxWn4tA,6A8a3WNfQWw,2
6A8a3WNfQWw,HuoTFI9Q22o,2
HuoTFI9Q22o,0U0fjNK7oPU,2
0U0fjNK7oPU,Hjd5RwajdQI,2
VeTHGqaVliU,u9yg5jBCZLE,2
VsbOJeSemnM,7z57HaYgf-g,2
gv-LGSfCMpc,Ryj1VPMJoXU,2
I9FrBfWIe8o,BLbeifl1Xwc,2
HQXiySEjTLk,oGa1_OhrfAg,2
O2lrkP7HMBA,MkQCWCFTW5Q,2
MkQCWCFTW5Q,5g8wmfkwYEg,2
5g8wmfkwYEg,q7TaJ6HLYaM,2
Z8fS5KABQiI,FlvPDco9ppA,2
rFAr9H3arWc,Z8V5GfFeUDs,2
-DWkf03g4Gc,RLankLCq-R4,2
nCE0iYciOos,HPaqKaItM-E,2
2VAHlyVVTQY,7EvCAXNI_oE,2
I3n7uxS1hwE,PNpXKsge4xM,2
oYLBTHFy6r4,I3n7uxS1hwE,2
n0PQQqjyeHo,mhXMI7wiDHQ,2
Mtu3hGKpFPg,ViOF32yjtzE,2
TAG2GEpJvXU,JLO16LD2lSE,2
rqfIIf1zRuQ,hmAJbdMfRtI,2
hmAJbdMfRtI,QKPjaD0W9xE,2
QKPjaD0W9xE,HxpYobXM8yo,2
HxpYobXM8yo,RGF3_bMBqYY,2
_Woeze5-zMc,9m_M1hOIKUI,2
9m_M1hOIKUI,c12BDNe8olM,2
c12BDNe8olM,-xS6hdQ_cKY,2
-xS6hdQ_cKY,5WhK-XwPh2o,2
5WhK-XwPh2o,5hewomFNbI0,2
g6FcqRO233s,CUWjh20NC8c,2
QK8u1enRo0U,YJpcNK7X8a8,2
dOmyU5iKmIY,jUf67lFrazY,2
jUf67lFrazY,qt2I-Fr0brI,2
qt2I-Fr0brI,xmdF5lU6UUo,2
xmdF5lU6UUo,AMbupnr-arQ,2
AMbupnr-arQ,1DJZVoLXR4w,2
1DJZVoLXR4w,_BSYJc6CKyU,2
_BSYJc6CKyU,Qn6f3uCC-iw,2
Qn6f3uCC-iw,sNHpruQuHEs,2
sNHpruQuHEs,wrBZOiGBa2c,2
wrBZOiGBa2c,j3KGrJ08vPI,2
j3KGrJ08vPI,WTBsxt-Zshc,2
WTBsxt-Zshc,qM-_CnfXh5o,2
qM-_CnfXh5o,7ct4k6yGbkk,2
1_4_eyZvZVI,3qeCbvg5Imw,2
q7vbeF4LsAM,hqN-kLuHDsA,2
u1CYeoqLHTk,bNFF7pEmFXE,2
hQJwWsdJazo,U_uXtTqFKIM,2
35_r-0WZmI8,BR_JDlY4Bag,2
TRFvEZPmjHk,avM-F0R_Gyo,2
twHAXp41Lx8,fdAAVJZXoYM,2
J2ZzYa9QUa4,Q5OpntP4jU8,2
Q5OpntP4jU8,eHcSSVXHdYU,2
pO8amukEOEQ,mDcc0tJtFcY,2
p5LEymejf64,9PXu5zwgUaY,2
9PXu5zwgUaY,MNiYqENPPng,2
MNiYqENPPng,Rw3fHlHi3rE,2
ak42jCPA5TU,TVG3ePE6M4A,2
TVG3ePE6M4A,LJLFXG5Ls50,2
bYEKBLC2Otg,NhdiArNbOEM,2
NhdiArNbOEM,MckXivskT0g,2
6ySIjO7PgeY,lx9Gjm7kpyY,2
lx9Gjm7kpyY,NdPeNXHAcVk,2
NdPeNXHAcVk,yTxBFsXpooo,2
yTxBFsXpooo,SIXVNkNJuKE,2
SIXVNkNJuKE,xRhUlsrz88o,2
fm1_0TJBZC0,ovvRrDC0f0g,2
ovvRrDC0f0g,mL2Bgj-za5k,2
mL2Bgj-za5k,cwI0gbGEyuI,2
cwI0gbGEyuI,9bfJPyaDVAY,2
9bfJPyaDVAY,ZNO7-OYLI9U,2
wWO9fZUsEsY,ga0Xxc82V5k,2
fXlBGSaW5TA,U1hBVOutacI,2
U1hBVOutacI,5X_hOXjarB4,2
5X_hOXjarB4,NM69oXt2Yrk,2
C30sVyG53dU,JSS3jKMQWqI,2
JSS3jKMQWqI,vziorAdqKLQ,2
vziorAdqKLQ,ulPCpULLZvs,2
ulPCpULLZvs,0AnYwKxA6I0,2
0AnYwKxA6I0,azjKjx0Z1fw,2
azjKjx0Z1fw,pFRzNbsQNBw,2
ES_JDrKsxek,DCw8uoXSQbQ,2
DCw8uoXSQbQ,a8pVl0wZCx8,2
a8pVl0wZCx8,1-4nsaPTYs4,2
1-4nsaPTYs4,rBOW5moZxek,2
rBOW5moZxek,JQvbDJ7yyF0,2
JQvbDJ7yyF0,QfknVLVw39U,2
oTzrh-NOKrc,wEb3HB0ifc4,2
7gW2xfv41s4,nLG9_9eKfBo,2
wOqosf1moKU,sSR4MgieVb0,2
sSR4MgieVb0,ghc61GI109c,2
ghc61GI109c,3SVKk9ntj7c,2
3SVKk9ntj7c,UC8uVFi5jms,2
at5ZmWE97gc,5pDuStQ0QTo,2
pt_9o-1iKS0,2QcCFcaSXCs,2
4s3KrUDc0CM,b4JmgfGGXlQ,2
Ion81LkBr6M,RvcaV37Kqhw,2
jy1pGyvqHnE,lMiwN9_6HWc,2
0kGFtl0ft6c,ngAtU6bXSYY,2
cAa0O0pstvE,gmYZV8vZAHk,2
QzWXbl9pKxI,k_6s2ALiUvM,2
k_6s2ALiUvM,0ilrzX0tBgs,2
qPxOaDIIp8Q,2TH3Av1V0RY,2
At8mdCKCAus,3peodkZPk-8,2
X4uFEs-o0rU,fOZu0SgvI_Q,2
_gmfYsa2yrc,7Kswlubej2I,2
1TsP4_hwi0M,ZWxi6qVW9a4,2
bwjMXhA4as8,iFq40nY7AJM,2
iFq40nY7AJM,qf47qQigLMc,2
qf47qQigLMc,oE1vKuiX3S4,2
oE1vKuiX3S4,EIU4hSjMh3Y,2
EIU4hSjMh3Y,Bx7grLg7oTQ,2
Bx7grLg7oTQ,oZWqJYkbbsc,2
oZWqJYkbbsc,OaSpwWJviOM,2
OaSpwWJviOM,hrjz4xDz30k,2
hrjz4xDz30k,XS5K4eFz_Uc,2
XS5K4eFz_Uc,JS62fcy6BLE,2
ok73_lsY1HI,0ajF5x1Jx6A,2
P_FU6Ue_-nc,RVsVqq4_oJg,2
9QIcT6PkOVA,Eb4rPlocxxA,2
p3DBL2kLrso,GRutHyVQjeE,2
c8vf9ZkQlwY,-sPUikh3cTU,2
rUM256f30UE,615UiKaGmN0,2
615UiKaGmN0,RRfCpREuV3c,2
A-ECnE-wTzk,CLSVhpAK0cY,2
xu4trnn2X-A,iS3bY2Ywlt4,2
CywhOTT5M4w,qdkB7BbwsfM,2
G8IwGUR8S54,hLA6QtyzOME,2
hLA6QtyzOME,m5SZ_a8QF3U,2
m5SZ_a8QF3U,Hx0S4mlqCPs,2
Tf7XKlrxQeA,vE5Z0Hz3Sb0,2
XaCCmiIkx0s,3YLRcAHbH58,2
6am2LGzCtjY,G1X8jkhLptw,2
fOLmorP2RGQ,2tHYbRRog2A,2
lANJ28Q2PoI,Feri2fDtwUY,2
XGYIQuWTgaI,CdcESsG7SVA,2
f0NO8UNzYv4,BeOPmSdAKyI,2
o0wfX5T9-N8,UT8r6i95r8A,2
GR360A75HMY,fllPFH_8klk,2
qvHKlUwEasc,3U1HVvW9EpY,2
5kaU7Pm5bVI,tle49mytZvM,2
9-jzEa0qwD8,HgXRkbsDLec,2
fE28T8u0GjU,9zMNnJgQkNo,2
2tiEUg25pO8,je6GPIwZbiM,2
je6GPIwZbiM,vyFd7DcY7eo,2
Qra9ubtBgYY,z99jCd3nU2k,2
dFZ9HjcHu5c,PWVZdFdE7MA,2
no9TdG3k0P8,FSserx_VvFM,2
FSserx_VvFM,WoPpG9lq0WA,2
WoPpG9lq0WA,GEJPsiwxiMo,2
G1ryiejKBkw,COcckel5yMc,2
Lylkt9YuSTs,osIGWT-Ae-Q,2
8bFAQd2Nf8I,GPsA9FiutDQ,2
GPsA9FiutDQ,1U-XZrVJn-Y,2
1U-XZrVJn-Y,CuLj_BCw_Rs,2
CuLj_BCw_Rs,ENexo8hTCFo,2
RVSZPXgxTk0,YejXtnIoaAc,2
YejXtnIoaAc,RCd4wsd9zgY,2
O3TFfykcoFs,ILWrbhx6gMM,2
ILWrbhx6gMM,pYzZPylOVl4,2
2AuPWyObvHE,_FO3QEVE_SQ,2
A3dklasTtaE,6AWRP3ynzI8,2
6AWRP3ynzI8,WJnHgL45x2s,2
WJnHgL45x2s,n9pP8amMgMk,2
davhBdP2OR8,Q6N2WhbBzfI,2
Q6N2WhbBzfI,udcRqW7IEPs,2
udcRqW7IEPs,wSbafCxU-fo,2
wSbafCxU-fo,4sKf-QEwqX0,2
4sKf-QEwqX0,FwZX1A7RTvQ,2
qlJ8_jSy8zM,l2J6AQ3AyI0,2
GnqAuRHgIsg,t37SLWPypOA,2
tRxtlMoFABE,Z3pMJJ6_0ko,2
Vm-h_RbwhEA,x-xy9SQ6rsk,2
x-xy9SQ6rsk,jl52GEbXf7Y,2
jl52GEbXf7Y,7ezWRak-9x8,2
7ezWRak-9x8,4aWOb1dME1o,2
4aWOb1dME1o,KQ39LfaDDnw,2
KQ39LfaDDnw,CfodIzbncwU,2
CfodIzbncwU,qIXF1OXMdJI,2
qIXF1OXMdJI,77hlhSIFOKY,2
77hlhSIFOKY,terT-faTI0Q,2
terT-faTI0Q,aU6z-pPEmY0,2
pr-BFTK-Y2U,v-zUs5VLoWU,2
uBC0P4bLJkM,3y2SWNtb8Lo,2
3y2SWNtb8Lo,MvAqg_vr6TQ,2
MvAqg_vr6TQ,X5VHRz9z5h4,2
hbeYiPTOWSc,iafmNqJ3S3M,2
iafmNqJ3S3M,aU6z-pPEmY0,2
fDns0acJziw,vrfSvYGVZqw,2
vrfSvYGVZqw,8aRgfJC3VnE,2
8aRgfJC3VnE,_DUeCPEHCdE,2
_DUeCPEHCdE,gG0eHJMMv8Q,2
gG0eHJMMv8Q,3_pRpxA71Cc,2
3_pRpxA71Cc,QIjey3ldbPk,2
QIjey3ldbPk,1_wch3D4xQo,2
1_wch3D4xQo,pNrx6IuHVXk,2
ERasncmUfaw,D89cUMqBaAc,2
D89cUMqBaAc,ImxK2zW10WA,2
ImxK2zW10WA,sQK7hwuGEpQ,2
sQK7hwuGEpQ,uQV_NSB_iyo,2
uQV_NSB_iyo,KlRCEOVOBCM,2
WmGfxPbtvRg,8Ji45-Br6aA,2
8Ji45-Br6aA,8_T7dJlbcso,2
8_T7dJlbcso,Tz6OUIjtM6E,2
9VITbqBa9bw,g8923WuENoQ,2
G8Ri51uC4pQ,zls4nQfcFhs,2
VajLEWzm2uQ,uOPNNX8oXqg,2
ndh0G1tumZc,DJEsnUh1rnw,2
DJEsnUh1rnw,eRyDDTegjg0,2
eRyDDTegjg0,J_ctMiIJeVE,2
J_ctMiIJeVE,Je2DgktdmY0,2
Je2DgktdmY0,WA9suknlXOA,2
WA9suknlXOA,LCiMJtkt9bY,2
LCiMJtkt9bY,Vhm7Zx4kvMA,2
Vhm7Zx4kvMA,D68DxDkbEK4,2
D68DxDkbEK4,vR_qQRpCwU8,2
LamSsxwaaSE,IgZroxqrhTY,2
ALaBKnM6oAg,w099oKTYXAg,2
5IJk540dRtI,42uhW-ymcEI,2
54PInXyxi_0,c7Yz38OYcNY,2
EJAAmWW38Ik,Tpe455RsTUA,2
KvPMrpipCWQ,SpDZW0gbOyM,2
SpDZW0gbOyM,4AEmD0mAseM,2
iHPV9hdrqQw,uuB047IBiFg,2
ZF3pq541poQ,iAFTLaNo7Ag,2
iAFTLaNo7Ag,JtBX67VBX9E,2
WDA6W-bH11M,cVsTAgph9B8,2
cVsTAgph9B8,Idziyl9emjU,2
D3Nj_v0zAbQ,q18Geqp9vQg,2
q18Geqp9vQg,_0VVXhcsTdo,2
_0VVXhcsTdo,6D8xtgaEzCo,2
6D8xtgaEzCo,e9EKmO8fb3U,2
e9EKmO8fb3U,NUd2SLGUy_Y,2
NUd2SLGUy_Y,zxOLHb9gcn4,2
zxOLHb9gcn4,80-Rxd8tgcc,2
80-Rxd8tgcc,fYaMeVKawBo,2
fYaMeVKawBo,visdQRV0HVQ,2
pJjXIgY1HAw,93Y1hpysOws,2
DE_BhUB82Js,LrdvLl2jZps,2
LrdvLl2jZps,E1DxupTAv08,2
E1DxupTAv08,xhPFmZfz5os,2
xhPFmZfz5os,P0ZwuouzjAc,2
JEl_YS1hQEE,EgaacQBqT5s,2
EgaacQBqT5s,Pl2P7DW8nI0,2
Pl2P7DW8nI0,AOJqkDwjaVQ,2
xU2P0pUL1yk,7te4tiu-fcI,2
7te4tiu-fcI,WX5J9mFgmM0,2
CO26PZLpINw,WjzwHR4130s,2
WjzwHR4130s,04F53E2Gp2o,2
04F53E2Gp2o,wUUVWhkI1sc,2
wUUVWhkI1sc,_oyCeQHR1Q4,2
_oyCeQHR1Q4,p9C09o4rmZo,2
p9C09o4rmZo,bI8v1RRsAcc,2
bI8v1RRsAcc,PH7a-1PXwrk,2
PH7a-1PXwrk,W_Gr4-tlSOg,2
W_Gr4-tlSOg,lW02ydVMM54,2
lW02ydVMM54,oChhVINsEao,2
oChhVINsEao,31xZYlx85SE,2
31xZYlx85SE,6MfdjuzcPJA,2
p-skS1V21n0,Csvs8XFLh7U,2
MS4fnBfTkf0,6gGr8O40OXs,1
6gGr8O40OXs,nzl0hOm-8WQ,1
nzl0hOm-8WQ,qizk3MTuc2U,1
qizk3MTuc2U,_BpWjG_10gY,1
_BpWjG_10gY,D6GWUy4t_Zc,1
D6GWUy4t_Zc,rsml6sbIM2A,1
rsml6sbIM2A,LRizGkpySZY,1
Nlz03yVSWyc,AWTooBL_EGU,1
AWTooBL_EGU,NPsk1BsUCgw,1
NPsk1BsUCgw,uit8WhT0XVM,1
uit8WhT0XVM,09L0l9ygLZM,1
Oka7etG00uY,LiJCtgPQKIw,1
LiJCtgPQKIw,F2QRny393HY,1
F2QRny393HY,ZxgrHGTTzmM,1
ZxgrHGTTzmM,ZIQ090mouLk,1
ZIQ090mouLk,UNesbHxl0qQ,1
UNesbHxl0qQ,SNZQoWquwPQ,1
SNZQoWquwPQ,tQR1cPN2ph0,1
tQR1cPN2ph0,_XEIw2wTXKQ,1
_XEIw2wTXKQ,cIUD1Z3pU1g,1
Tqu-2sZSNEc,VNzzgNX1k4Q,1
VNzzgNX1k4Q,mNFzhWAL5r0,1
mNFzhWAL5r0,XfHNvfivOeg,1
XfHNvfivOeg,AexFISvKnyM,1
NV3lSgi6Gdg,pKEUuF_PdNM,1
A7vuDU7vrY0,NAG-Ec4b-zw,1
HBttSU1yDP8,9GKCSp0fKfI,1
9GKCSp0fKfI,REWFidBQ_z0,1
REWFidBQ_z0,-NpBSAkR8yQ,1
kK1cTCK_qMI,kK1cTCK_qMI,1
kK1cTCK_qMI,UMmsCmre_S8,1
UMmsCmre_S8,9WTr3iKzNCY,1
b4HxLA2zigA,NdzZGteAFjw,1
NdzZGteAFjw,qO_oiNO8rCs,1
qO_oiNO8rCs,gLd-KE0MKKw,1
gLd-KE0MKKw,PCZ_59pty74,1
W5AxmLF55ko,uH0ZJNHFy6I,1
0gmhgWA76GY,BEm6DbCO2do,1
CxFwbRfuUvk,oVKE-tJD578,1
oVKE-tJD578,qstk50OyuH4,1
wM-TEU5Te8E,QfMe-EWEGfQ,1
QfMe-EWEGfQ,nIQ8G4hQDuI,1
nIQ8G4hQDuI,agPQBtHqzgA,1
avbISsqBLt8,-L-wglI4yfk,1
-L-wglI4yfk,hpko_0esAcA,1
ywkBvJjwuxw,QrAJBSZDjxA,1
Nsct-e-HVE0,idmcswvIsQw,1
idmcswvIsQw,Gl7Y4y3EZL8,1
Gl7Y4y3EZL8,YeI795fVoqE,1
YeI795fVoqE,5Uyf-NVC7Yo,1
5Uyf-NVC7Yo,hR6MFEEmlyA,1
hR6MFEEmlyA,DqUj_NyNPTE,1
sHNo2l_NxRk,rclzB0SCzGw,1
rclzB0SCzGw,CrB-1OveA1I,1
CrB-1OveA1I,uaJqAwO0Nqs,1
uaJqAwO0Nqs,XeGjcDJ8nGE,1
ylmoTGBoGho,Kfq-cLE59U4,1
Kfq-cLE59U4,UvawdftUaWI,1
UvawdftUaWI,XzDZBHpT9Qg,1
XzDZBHpT9Qg,i8ORCyuQy-M,1
i8ORCyuQy-M,8BuC1F_IkVI,1
8BuC1F_IkVI,LumVKcFO9Ns,1
LumVKcFO9Ns,Cod6MTToQ_I,1
Cod6MTToQ_I,2GoVibasqgM,1
2GoVibasqgM,s7-yvCfyx3A,1
s7-yvCfyx3A,5ZTzP4Baq-0,1
5ZTzP4Baq-0,-vbnxrccBQQ,1
-vbnxrccBQQ,MbkqJKVV2tI,1
MbkqJKVV2tI,ZqtwWF24LW8,1
ZqtwWF24LW8,ux1yl2oZRXM,1
0bHzyyc8U9A,QDwWWzlFENE,1
NTrtUBVjPpY,3FqpyS2MefE,1
3FqpyS2MefE,-nVVuR0ldSc,1
-nVVuR0ldSc,4oj0Wo7zbtM,1
4oj0Wo7zbtM,7sjW_FfHgWs,1
7sjW_FfHgWs,06iLRpkgAt0,1
Et-u40phiOY,Dy4iFiOCPDg,1
Dy4iFiOCPDg,EX1-K6qv2MY,1
EX1-K6qv2MY,ZSbgvDYLNVw,1
ZSbgvDYLNVw,4gUXQjq8mGg,1
4gUXQjq8mGg,A6WIbvwcVUg,1
A6WIbvwcVUg,qnqtR3rrrF4,1
qnqtR3rrrF4,7ZrxPzSrOHY,1
7ZrxPzSrOHY,NUc2mLrqqdA,1
NUc2mLrqqdA,Q-_UlgGJ3DQ,1
Q-_UlgGJ3DQ,cv3YQQwWRPw,1
cv3YQQwWRPw,Gxvdj9m5Qsg,1
4we-WfZTauc,iLbWfWgXgl8,1
iLbWfWgXgl8,HYuGkN6v6nQ,1
ZTpfqF-aVbM,N-fTIZ3KlJM,1
HJKdGA3jORg,OstMSyKUYLo,1
OstMSyKUYLo,Ce6JZDzEobQ,1
Ce6JZDzEobQ,5aJ88ZGsNnc,1
5aJ88ZGsNnc,CzYz5KMWnWs,1
CzYz5KMWnWs,WQlxViAJCJE,1
WQlxViAJCJE,PAyO4LsoGyI,1
PAyO4LsoGyI,qGM21pyHinQ,1
qGM21pyHinQ,0vu12zSixUo,1
0vu12zSixUo,ncirwCkflIc,1
ncirwCkflIc,nSGypIDJYn8,1
nSGypIDJYn8,bEvsA6sxp9g,1
bEvsA6sxp9g,n_YC3dWBM58,1
O68arRfX55U,IhOjaLiVlis,1
IhOjaLiVlis,MD_ylJH7nNk,1
A6_bmD7nzAM,-L-wglI4yfk,1
-L-wglI4yfk,MiZ6kPA4Iyk,1
MiZ6kPA4Iyk,frpbqT2WFjU,1
frpbqT2WFjU,MCMhK_lG6IU,1
s0zzDNpTxJs,ND7wzRf5BqA,1
ND7wzRf5BqA,8jnm5JucvL8,1
8jnm5JucvL8,8Eq0i187kvE,1
i6MUUL7-kw0,HAtZlGW_q1o,1
HAtZlGW_q1o,slvNU6gnw7U,1
C9z_b9sZU7k,OPvhUpnocx0,1
OPvhUpnocx0,VSrNMGvd9bY,1
VSrNMGvd9bY,96yGRmGH6i0,1
96yGRmGH6i0,vVMb2Y02MX0,1
vVMb2Y02MX0,P0dKXZlFUMk,1
P0dKXZlFUMk,SaNt_JkIZ_k,1
SaNt_JkIZ_k,GGMPLD2UM4M,1
07q_yahvHO4,r_60kPGDyNM,1
r_60kPGDyNM,3a5YvcPgqL0,1
